Firm_ID,Year,NIC,GVA
ANANTRAJ.NS,2025,68,5319800000.0
ANANTRAJ.NS,2024,68,3697932000.0
ANANTRAJ.NS,2023,68,2446087000.0
AMNPLST.NS,2026,24,604861000.0
AMNPLST.NS,2025,24,702566000.0
AMNPLST.NS,2024,24,718195000.0
AMNPLST.NS,2023,24,452346000.0
ANDHRSUGAR.NS,2026,24,2048375000.0
ANDHRSUGAR.NS,2025,24,1203332000.0
ANDHRSUGAR.NS,2024,24,1450230000.0
ANDHRSUGAR.NS,2023,24,3157128000.0
ANGELONE.NS,2026,64,17999660000.0
ANGELONE.NS,2025,64,19442990000.0
ANGELONE.NS,2024,64,16714380000.0
ANGELONE.NS,2023,64,12918090000.0
ANANDRATHI.NS,2026,64,5857779000.0
ANANDRATHI.NS,2025,64,4414287000.0
ANANDRATHI.NS,2024,64,3314342000.0
ANANDRATHI.NS,2023,64,2489330000.0
AMRUTANJAN.NS,2026,21,844018000.0
AMRUTANJAN.NS,2025,21,758793000.0
AMRUTANJAN.NS,2024,21,681596000.0
AMRUTANJAN.NS,2023,21,589340000.0
ANDHRAPAP.NS,2026,24,1508930000.0
ANDHRAPAP.NS,2025,24,2232899000.0
ANDHRAPAP.NS,2024,24,5253940000.0
ANDHRAPAP.NS,2023,24,7708760000.0
ANIKINDS.NS,2025,10,47533000.0
ANIKINDS.NS,2024,10,57597000.0
ANIKINDS.NS,2023,10,96055000.0
ANIKINDS.NS,2022,10,217792000.0
ANSALAPI.NS,2024,68,71798000.0
ANSALAPI.NS,2022,68,154336000.0
ANTELOPUS.NS,2026,19,1674900000.0
ANTELOPUS.NS,2025,19,1469000000.0
ANTELOPUS.NS,2024,19,834329000.0
ANTELOPUS.NS,2023,19,627098000.0
ANTGRAPHIC.NS,2023,29,1129000.0
ANTGRAPHIC.NS,2022,29,1287000.0
ANMOL.NS,2026,19,289800000.0
ANMOL.NS,2025,19,256700000.0
ANMOL.NS,2024,19,341449000.0
ANMOL.NS,2023,19,321053909.78
ANUHPHR.NS,2026,21,660759000.0
ANUHPHR.NS,2025,21,703640000.0
ANUHPHR.NS,2024,21,872469000.0
ANUHPHR.NS,2023,21,573890000.0
ANTHEM.NS,2026,21,9652040000.0
ANTHEM.NS,2025,21,7565680000.0
ANTHEM.NS,2024,21,5684180000.0
ANTHEM.NS,2023,21,5692720000.0
ANUP.NS,2026,42,1758398000.0
ANUP.NS,2025,42,1703581000.0
ANUP.NS,2024,42,1354077000.0
ANUP.NS,2023,42,826222000.0
APARINDS.NS,2025,42,15015300000.0
APARINDS.NS,2024,42,15047300000.0
APARINDS.NS,2023,42,11336500000.0
APARINDS.NS,2022,42,5069400000.0
APCL.NS,2026,24,352000000.0
APCL.NS,2024,24,296300000.0
APCL.NS,2023,24,237800000.0
ANURAS.NS,2025,24,4021050000.0
ANURAS.NS,2024,24,4008970000.0
ANURAS.NS,2023,24,4276690000.0
ANURAS.NS,2022,24,3061240000.0
APCOTEXIND.NS,2026,24,1942338000.0
APCOTEXIND.NS,2025,24,1340392000.0
APCOTEXIND.NS,2024,24,1208495000.0
APCOTEXIND.NS,2023,24,1652762000.0
APEX.NS,2026,10,728698000.0
APEX.NS,2025,10,297303000.0
APEX.NS,2024,10,435953000.0
APEX.NS,2023,10,836903000.0
APLAPOLLO.NS,2026,24,19136700000.0
APLAPOLLO.NS,2025,24,12950400000.0
APLAPOLLO.NS,2024,24,12575200000.0
APLAPOLLO.NS,2023,24,10624200000.0
AMBUJACEM.NS,2026,24,70927900000.0
AMBUJACEM.NS,2025,24,86166500000.0
AMBUJACEM.NS,2024,24,78003800000.0
AMBUJACEM.NS,2022,24,41884100000.0
APOLLOHOSP.NS,2026,21,39866000000.0
APOLLOHOSP.NS,2025,21,32551000000.0
APOLLOHOSP.NS,2024,21,24776000000.0
APOLLOHOSP.NS,2023,21,20728000000.0
APLLTD.NS,2026,21,11061300000.0
APLLTD.NS,2025,21,10645300000.0
APLLTD.NS,2024,21,9606900000.0
APLLTD.NS,2023,21,6801900000.0
APOLLOTYRE.NS,2026,29,32437170000.0
APOLLOTYRE.NS,2025,29,34916310000.0
APOLLOTYRE.NS,2024,29,45134510000.0
APOLLOTYRE.NS,2023,29,33627330000.0
APOLLO.NS,2026,42,2244361000.0
APOLLO.NS,2025,42,1320950000.0
APOLLO.NS,2024,42,703086000.0
APOLLO.NS,2023,42,513482000.0
APOLSINHOT.NS,2026,42,365269000.0
APOLSINHOT.NS,2025,42,290110000.0
APOLSINHOT.NS,2024,42,347036000.0
APOLSINHOT.NS,2023,42,366507000.0
APTECHT.NS,2026,10,452648000.0
APTECHT.NS,2025,10,442439000.0
APTECHT.NS,2024,10,501156000.0
APTECHT.NS,2023,10,888995000.0
APOLLOPIPE.NS,2026,42,769076000.0
APOLLOPIPE.NS,2025,42,1009351000.0
APOLLOPIPE.NS,2024,42,997539000.0
APOLLOPIPE.NS,2023,42,699900000.0
AQYLON.NS,2026,61,105547000.0
ARCHIES.NS,2026,29,42777000.0
ARCHIES.NS,2025,29,94729000.0
ARCHIES.NS,2024,29,55044000.0
ARCHIES.NS,2023,29,164304000.0
ARCHIDPLY.NS,2026,24,422674000.0
ARCHIDPLY.NS,2025,24,234220000.0
ARCHIDPLY.NS,2024,24,238490000.0
ARCHIDPLY.NS,2023,24,258679000.0
ARE&M.NS,2026,42,18585900000.0
ARE&M.NS,2025,42,18431300000.0
ARE&M.NS,2024,42,17649800000.0
ARE&M.NS,2023,42,14753700000.0
ARFIN.NS,2026,24,470832000.0
ARFIN.NS,2025,24,382585000.0
ARFIN.NS,2024,24,307890000.0
ARFIN.NS,2023,24,270561000.0
ARIHANTCAP.NS,2026,64,669199000.0
ARIHANTCAP.NS,2025,64,1002333000.0
ARIHANTCAP.NS,2024,64,1076702000.0
ARIHANTCAP.NS,2023,64,503268000.0
ARENTERP.NS,2026,24,687000.0
ARENTERP.NS,2025,24,2056000.0
ARENTERP.NS,2024,24,9108100.0
ARENTERP.NS,2023,24,3174210.0
ARIHANT.NS,2026,68,1093500000.0
ARIHANT.NS,2025,68,797100000.0
ARIHANT.NS,2024,68,437820000.0
ARIHANT.NS,2023,68,338103000.0
ARIS.NS,2026,42,1105850000.0
ARIS.NS,2025,42,570060000.0
ARIS.NS,2024,42,183150000.0
ARIS.NS,2023,42,69410000.0
ARIHANTSUP.NS,2026,68,1316042000.0
ARIHANTSUP.NS,2025,68,1096640000.0
ARIHANTSUP.NS,2024,68,1126105000.0
ARIHANTSUP.NS,2023,68,798295000.0
ARKADE.NS,2026,68,190153000.0
ARKADE.NS,2025,68,2180686000.0
ARKADE.NS,2024,68,1666416000.0
ARKADE.NS,2023,68,678840000.0
ARMANFIN.NS,2026,64,1905987000.0
ARMANFIN.NS,2025,64,2494202000.0
ARMANFIN.NS,2024,64,2295947000.0
ARMANFIN.NS,2023,64,1262087000.0
ARROWGREEN.NS,2026,29,731100000.0
ARROWGREEN.NS,2025,29,936100000.0
ARROWGREEN.NS,2024,29,488100000.0
ARROWGREEN.NS,2023,29,254600000.0
AROGRANITE.NS,2026,42,133192000.0
AROGRANITE.NS,2025,42,159627000.0
AROGRANITE.NS,2024,42,312344000.0
AROGRANITE.NS,2023,42,196006000.0
ARTNIRMAN.NS,2025,68,36214000.0
ARTNIRMAN.NS,2024,68,23420000.0
ARTNIRMAN.NS,2023,68,9968000.0
ARSHIYA.NS,2022,42,6652182000.0
ARVINDFASN.NS,2026,29,7220400000.0
ARVINDFASN.NS,2025,29,6366400000.0
ARVINDFASN.NS,2024,29,5333400000.0
ARVINDFASN.NS,2023,29,4887600000.0
ARSSBL.NS,2026,64,3708030000.0
ARSSBL.NS,2025,64,3044940000.0
ARSSBL.NS,2024,64,2231890000.0
ARSSBL.NS,2023,64,1058630000.0
ARVEE.NS,2025,24,41719360.0
ARVEE.NS,2024,24,35165790.0
ARVEE.NS,2023,24,85320810.0
ARVEE.NS,2022,24,61458600.0
ARVIND.NS,2026,29,10502200000.0
ARVIND.NS,2025,29,9173500000.0
ARVIND.NS,2024,29,8883900000.0
ARVIND.NS,2023,29,8967000000.0
ASAHISONG.NS,2026,24,565275000.0
ASAHISONG.NS,2025,24,602144000.0
ASAHISONG.NS,2024,24,459140000.0
ASAHISONG.NS,2023,24,102931000.0
ASAL.NS,2026,29,590753000.0
ASAL.NS,2025,29,513518000.0
ASAL.NS,2024,29,498034000.0
ASAL.NS,2023,29,330814000.0
ARVSMART.NS,2026,68,1723621000.0
ARVSMART.NS,2025,68,1909641000.0
ARVSMART.NS,2024,68,1211561000.0
ARVSMART.NS,2023,68,562808000.0
